1992/1994,Canada,Both sexes,At birth,78
1992/1994,Canada,Both sexes,At age 65,18.1
1992/1994,Canada,Males,At birth,74.9
1992/1994,Canada,Males,At age 65,15.9
1992/1994,Canada,Females,At birth,81
1992/1994,Canada,Females,At age 65,20
1992/1994,Newfoundland and Labrador,Both sexes,At birth,76.8
1992/1994,Newfoundland and Labrador,Both sexes,At age 65,16.9
1992/1994,Newfoundland and Labrador,Males,At birth,73.9
1992/1994,Newfoundland and Labrador,Males,At age 65,14.9
1992/1994,Newfoundland and Labrador,Females,At birth,79.8
1992/1994,Newfoundland and Labrador,Females,At age 65,18.9
1992/1994,Prince Edward Island,Both sexes,At birth,77.5
1992/1994,Prince Edward Island,Both sexes,At age 65,17.8
1992/1994,Prince Edward Island,Males,At birth,74.3
1992/1994,Prince Edward Island,Males,At age 65,15.5
1992/1994,Prince Edward Island,Females,At birth,80.8
1992/1994,Prince Edward Island,Females,At age 65,19.9
1992/1994,Nova Scotia,Both sexes,At birth,77.2
1992/1994,Nova Scotia,Both sexes,At age 65,17.3
1992/1994,Nova Scotia,Males,At birth,74
1992/1994,Nova Scotia,Males,At age 65,14.9
1992/1994,Nova Scotia,Females,At birth,80.4
1992/1994,Nova Scotia,Females,At age 65,19.5
1992/1994,New Brunswick,Both sexes,At birth,77.6
1992/1994,New Brunswick,Both sexes,At age 65,17.7
1992/1994,New Brunswick,Males,At birth,74.4
1992/1994,New Brunswick,Males,At age 65,15.5
1992/1994,New Brunswick,Females,At birth,80.7
1992/1994,New Brunswick,Females,At age 65,19.7
1992/1994,Quebec,Both sexes,At birth,77.6
1992/1994,Quebec,Both sexes,At age 65,17.8
1992/1994,Quebec,Males,At birth,74.1
1992/1994,Quebec,Males,At age 65,15.3
1992/1994,Quebec,Females,At birth,81
1992/1994,Quebec,Females,At age 65,19.8
1992/1994,Ontario,Both sexes,At birth,78.2
1992/1994,Ontario,Both sexes,At age 65,18
1992/1994,Ontario,Males,At birth,75.2
1992/1994,Ontario,Males,At age 65,15.9
1992/1994,Ontario,Females,At birth,81
1992/1994,Ontario,Females,At age 65,19.8
1992/1994,Manitoba,Both sexes,At birth,77.8
1992/1994,Manitoba,Both sexes,At age 65,18.2
1992/1994,Manitoba,Males,At birth,74.7
1992/1994,Manitoba,Males,At age 65,15.9
1992/1994,Manitoba,Females,At birth,80.9
1992/1994,Manitoba,Females,At age 65,20.2
1992/1994,Saskatchewan,Both sexes,At birth,78.6
1992/1994,Saskatchewan,Both sexes,At age 65,18.9
